Position_ID,Symbol,Side,Volume,Time_Open,Time_Close,Price_Open,Price_Close,Profit,Commission,Swap,Magic
4358915527,EURUSDm,SELL,0.01,2026-04-30 10:08:47,2026-04-30 12:00:00,1.1657000000000002,1.16668,-0.98,0.0,0.0,202401
4358915536,USDJPYm,SELL,0.01,2026-04-30 10:08:47,2026-04-30 11:42:58,160.541,160.701,1.0,0.0,0.0,202401
4358915538,BTCUSDm,SELL,0.01,2026-04-30 10:08:47,2026-04-30 13:09:13,75427.49,76056.07,-6.29,0.0,0.0,202401
4358915547,ETHUSDm,SELL,0.1,2026-04-30 10:08:48,2026-04-30 12:04:55,2238.59,2251.17,-1.26,0.0,0.0,202401
4358936242,GBPUSDm,SELL,0.01,2026-04-30 10:14:48,2026-04-30 11:51:16,1.346,1.34637,-0.37,0.0,0.0,202401
4359373784,USDJPYm,SELL,0.01,2026-04-30 11:45:12,2026-04-30 12:02:55,160.721,160.565,-0.97,0.0,0.0,202401
4359406233,GBPUSDm,SELL,0.01,2026-04-30 11:52:12,2026-04-30 12:31:57,1.34613,1.34793,-1.8,0.0,0.0,202401
4359446813,EURUSDm,SELL,0.01,2026-04-30 12:00:13,2026-04-30 12:40:54,1.16657,1.16783,-1.26,0.0,0.0,202401
4359476930,USDJPYm,SELL,0.01,2026-04-30 12:03:13,2026-04-30 13:26:56,160.576,160.346,-1.43,0.0,0.0,202401
4359663063,GBPUSDm,SELL,0.01,2026-04-30 12:35:57,2026-04-30 14:28:14,1.34803,1.34813,0.1,0.0,0.0,202401
4359727714,EURUSDm,SELL,0.01,2026-04-30 12:45:59,2026-04-30 13:36:36,1.1679100000000002,1.16944,1.53,0.0,0.0,202401
4359797591,ETHUSDm,SELL,0.1,2026-04-30 13:00:01,2026-04-30 16:42:26,2253.1800000000003,2271.4,1.8199999999999998,0.0,0.0,202401
4359862516,BTCUSDm,SELL,0.01,2026-04-30 13:14:03,2026-04-30 15:01:02,76045.78,76309.65,2.64,0.0,0.0,202401
4360183961,EURUSDm,SELL,0.01,2026-04-30 13:57:01,2026-04-30 16:02:18,1.1685400000000001,1.17113,2.59,0.0,0.0,202401
4360194982,USDJPYm,SELL,0.01,2026-04-30 13:59:01,2026-04-30 15:01:02,159.964,159.303,4.15,0.0,0.0,202401
4360503294,USDJPYm,SELL,0.01,2026-04-30 15:03:00,2026-04-30 15:58:40,159.368,158.857,-3.22,0.0,0.0,202401
4360583892,BTCUSDm,SELL,0.01,2026-04-30 15:19:05,2026-04-30 19:10:25,76160.82,76492.93000000001,-3.32,0.0,0.0,202401
4360812171,GBPUSDm,SELL,0.01,2026-04-30 15:58:09,2026-04-30 16:57:53,1.3507200000000001,1.35343,-2.71,0.0,0.0,202401
4360821399,USDJPYm,SELL,0.01,2026-04-30 15:59:09,2026-04-30 15:59:37,158.934,158.641,-1.85,0.0,0.0,202401
4360844852,USDJPYm,SELL,0.01,2026-04-30 16:00:10,2026-04-30 16:14:00,158.368,157.646,-4.58,0.0,0.0,202401
4361292046,USDJPYm,SELL,0.01,2026-04-30 17:14:08,2026-05-01 05:59:44,155.98999999999998,157.302,8.34,0.0,0.0,202401
4361414105,GBPUSDm,SELL,0.01,2026-04-30 17:38:14,2026-04-30 19:51:44,1.35104,1.35497,3.93,0.0,0.0,202401
4362667973,EURUSDm,SELL,0.01,2026-04-30 20:20:36,2026-04-30 20:26:13,1.17189,1.17323,-1.34,0.0,0.0,202401
4362755748,EURUSDm,SELL,0.01,2026-04-30 20:33:18,2026-05-01 16:46:10,1.1727400000000001,1.17525,-2.51,0.0,0.0,202401
4365294182,USDJPYm,SELL,0.01,2026-05-01 09:38:00,2026-05-01 12:15:50,157.136,156.592,3.4699999999999998,0.0,0.0,202401
4365318992,GBPUSDm,SELL,0.01,2026-05-01 09:45:03,2026-05-01 11:25:01,1.3600500000000002,1.35906,-0.99,0.0,0.0,202401
4365510286,BTCUSDm,SELL,0.01,2026-05-01 10:39:20,2026-05-01 13:41:12,77154.43000000001,77154.33,0.0,0.0,0.0,202401
4365662226,GBPUSDm,SELL,0.01,2026-05-01 11:25:28,2026-05-01 12:18:24,1.35915,1.3612199999999999,2.07,0.0,0.0,202401
4365919674,USDJPYm,SELL,0.01,2026-05-01 12:17:36,2026-05-01 12:30:03,156.01,156.0,0.06,0.0,0.0,202401
4365975124,GBPUSDm,SELL,0.01,2026-05-01 12:30:40,2026-05-01 14:54:59,1.3611300000000002,1.35957,-1.56,0.0,0.0,202401
4365975155,USDJPYm,SELL,0.01,2026-05-01 12:30:40,2026-05-01 12:36:21,156.262,156.252,0.06,0.0,0.0,202401
4366002205,USDJPYm,SELL,0.01,2026-05-01 12:36:41,2026-05-04 07:35:25,156.361,157.142,-4.97,0.0,0.0,202401
4366394775,BTCUSDm,SELL,0.01,2026-05-01 13:45:28,2026-05-01 13:54:32,77216.02,77439.39,2.23,0.0,0.0,202401
4366394790,ETHUSDm,SELL,0.1,2026-05-01 13:45:29,2026-05-01 14:06:12,2283.56,2283.66,0.01,0.0,0.0,202401
4366558718,BTCUSDm,SELL,0.01,2026-05-01 14:15:04,2026-05-01 15:16:37,77370.31,77202.79,-1.67,0.0,0.0,202401
4366558728,ETHUSDm,SELL,0.1,2026-05-01 14:15:04,2026-05-01 15:17:03,2285.7200000000003,2279.52,-0.62,0.0,0.0,202401
4366748888,GBPUSDm,SELL,0.01,2026-05-01 14:58:05,2026-05-01 15:18:06,1.35955,1.35965,0.1,0.0,0.0,202401
4366821660,BTCUSDm,SELL,0.01,2026-05-01 15:17:06,2026-05-01 17:44:32,77195.69,77637.68,-4.42,0.0,0.0,202401
4366894446,ETHUSDm,SELL,0.1,2026-05-01 15:29:09,2026-05-01 15:41:02,2282.19,2276.69,-0.55,0.0,0.0,202401
4366902742,GBPUSDm,SELL,0.01,2026-05-01 15:31:09,2026-05-01 17:40:46,1.35939,1.36239,3.0,0.0,0.0,202401
4366949736,ETHUSDm,SELL,0.1,2026-05-01 15:43:10,2026-05-01 15:53:37,2278.1200000000003,2284.72,0.66,0.0,0.0,202401
4367005890,ETHUSDm,SELL,0.1,2026-05-01 15:56:11,2026-05-01 16:09:52,2285.08,2278.71,-0.64,0.0,0.0,202401
4367101469,ETHUSDm,SELL,0.1,2026-05-01 16:16:12,2026-05-01 16:51:25,2281.8500000000004,2288.84,0.69,0.0,0.0,202401
4367224683,EURUSDm,SELL,0.01,2026-05-01 16:47:12,2026-05-01 19:42:34,1.1752200000000002,1.17794,2.7199999999999998,0.0,0.0,202401
4372974476,BTCUSDm,SELL,0.01,2026-05-04 08:56:40,2026-05-04 10:46:40,80076.31,80063.39,-0.13,0.0,0.0,202401
4372974479,ETHUSDm,SELL,0.1,2026-05-04 08:56:40,2026-05-04 15:32:51,2381.56,2355.6,-2.6,0.0,0.0,202401
4373059605,USDJPYm,SELL,0.01,2026-05-04 09:15:45,2026-05-04 09:20:11,156.462,156.452,0.06,0.0,0.0,202401
4373098629,USDJPYm,SELL,0.01,2026-05-04 09:22:47,2026-05-04 10:24:49,155.913,156.79,-5.59,0.0,0.0,202401
4373353721,USDJPYm,SELL,0.01,2026-05-04 10:26:00,2026-05-04 15:32:18,156.778,157.022,-1.55,0.0,0.0,202401
4374420652,BTCUSDm,SELL,0.01,2026-05-04 13:45:16,2026-05-04 15:32:24,79801.81,79590.55,-2.11,0.0,0.0,202401
4378540069,ETHUSDm,SELL,0.1,2026-05-04 22:26:38,2026-05-05 22:38:29,2355.03,2358.65,0.37,0.0,0.0,202401
4378695704,GBPUSDm,SELL,0.01,2026-05-04 22:54:50,2026-05-05 11:37:54,1.3537700000000001,1.35262,1.15,0.0,0.0,202401
4381258002,EURUSDm,SELL,0.01,2026-05-05 13:10:31,2026-05-05 15:16:40,1.1693600000000002,1.16926,0.1,0.0,0.0,202401
4381258012,GBPUSDm,SELL,0.01,2026-05-05 13:10:31,2026-05-05 18:50:28,1.35433,1.3559700000000001,-1.6400000000000001,0.0,0.0,202401
4381258024,BTCUSDm,SELL,0.01,2026-05-05 13:10:32,2026-05-05 15:07:18,81087.26,80571.67,-5.15,0.0,0.0,202401
4381702291,USDJPYm,SELL,0.01,2026-05-05 14:45:41,2026-05-05 15:00:45,157.548,157.393,-0.98,0.0,0.0,202401
4382998463,BTCUSDm,SELL,0.01,2026-05-05 18:55:24,2026-05-05 19:45:02,81481.6,81076.01,-4.06,0.0,0.0,202401
4383337756,BTCUSDm,SELL,0.01,2026-05-05 19:45:31,2026-05-05 22:01:35,80965.42,81296.01,3.31,0.0,0.0,202401
4383705112,USDJPYm,SELL,0.01,2026-05-05 20:32:46,2026-05-05 22:40:30,157.66899999999998,157.867,1.25,0.0,0.0,202401
4383711521,EURUSDm,SELL,0.01,2026-05-05 20:33:46,2026-05-06 04:51:33,1.1708800000000001,1.1724999999999999,-1.62,0.0,0.0,202401
4384158645,BTCUSDm,SELL,0.01,2026-05-05 22:02:56,2026-05-06 05:07:30,81343.99,80770.97,-5.73,0.0,0.0,202401
4384321483,USDJPYm,SELL,0.01,2026-05-05 22:41:05,2026-05-06 04:25:00,157.87,157.728,-0.9,0.0,0.0,202401
4387753958,BTCUSDm,SELL,0.01,2026-05-06 13:59:25,2026-05-06 14:04:03,81576.88,81882.86,3.06,0.0,0.0,202401
4387778667,EURUSDm,SELL,0.01,2026-05-06 14:05:26,2026-05-06 14:23:11,1.1746900000000002,1.17692,2.23,0.0,0.0,202401
4387792224,GBPUSDm,SELL,0.01,2026-05-06 14:07:27,2026-05-06 14:33:38,1.36125,1.36142,0.17,0.0,0.0,202401
4384310895,ETHUSDm,SELL,0.1,2026-05-05 22:39:00,2026-05-06 15:10:56,2360.05,2413.9,5.38,0.0,0.0,202401
