Timestamp,Symbol,Timeframe,Side,Final_Confidence,TA_Signal,ML_Signal,ML_Confidence,ATR,Bid,Ask,Spread,Volume,SL,TP,Order,Deal,Magic
2026-05-06 13:59:26,BTCUSD,M5,BUY,0.8173,BUY,HOLD,0.5086,86.92675,81562.88,81576.88,14.0,0.01,81423.8,81882.86,4387753958,3766236334,202401
2026-05-06 14:00:26,USDJPY,M5,SELL,1.0,SELL,HOLD,0.8954,0.128051,156.241,156.251,0.009999999999990905,0.01,156.437,155.786,4387757363,3766239077,202401
2026-05-06 14:05:27,EURUSD,M15,BUY,0.7772,BUY,HOLD,0.5267,0.000653,1.17461,1.17469,8.000000000008001e-05,0.01,1.17343,1.17692,4387778667,3766258341,202401
2026-05-06 14:07:27,GBPUSD,M15,BUY,0.6905,BUY,BUY,0.3691,0.000869,1.36115,1.36125,9.999999999998899e-05,0.01,1.35957,1.3642,4387792224,3766270828,202401
2026-05-06 14:09:27,BTCUSD,M15,BUY,0.695,BUY,BUY,0.434,190.329289,81649.33,81663.33,14.0,0.01,81287.7,82350.42,4387801771,3766279381,202401
2026-05-06 14:33:29,EURUSD,M5,BUY,0.7506,BUY,BUY,0.5352,0.000699,1.17578,1.17586,7.999999999985796e-05,0.01,1.17452,1.17825,4388053822,3766521902,202401
2026-05-06 14:34:29,GBPUSD,M30,BUY,0.8212,BUY,BUY,0.7545,0.001356,1.36158,1.36168,9.999999999998899e-05,0.01,1.35941,1.36645,4388064445,3766531831,202401
2026-05-06 15:30:32,ETHUSD,M5,BUY,0.7912,BUY,BUY,0.609,6.682577,2410.77,2412.17,1.400000000000091,0.1,2398.07,2436.29,4388388362,3766820604,202401
2026-05-06 15:50:32,USDJPY,M30,SELL,0.9624,SELL,HOLD,0.7726,0.375013,156.082,156.092,0.010000000000019327,0.01,156.67,154.655,4388482783,3766904018,202401
2026-05-06 17:32:39,EURUSD,M5,BUY,0.9329,BUY,BUY,0.7189,0.000536,1.17644,1.17652,8.000000000008001e-05,0.01,1.17566,1.17842,4389208420,3767573710,202401
2026-05-06 17:32:39,USDJPY,M5,SELL,0.7595,SELL,SELL,0.6422,0.087383,156.156,156.166,0.009999999999990905,0.01,156.323,155.857,4389208433,3767573720,202401
2026-05-06 17:41:39,BTCUSD,M15,BUY,0.718,BUY,BUY,0.476,240.968316,82318.63,82332.63,14.0,0.01,81860.79,83202.53,4389287991,3767642138,202401
